iter	Passed	Remaining
0	1	115
1	2	105
2	3	104
3	4	97
4	5	97
5	6	94
6	7	93
7	7	91
8	9	91
9	10	90
10	11	90
11	12	90
12	13	89
13	14	90
14	15	90
15	17	90
16	18	90
17	19	90
18	21	90
19	22	89
20	23	89
21	25	88
22	26	88
23	27	87
24	29	87
25	30	87
26	32	86
27	33	86
28	34	85
29	36	84
30	37	84
31	39	82
32	40	82
33	41	81
34	48	89
35	50	89
36	51	88
37	53	87
38	55	86
39	56	84
40	58	83
41	58	81
42	60	79
43	61	78
44	63	77
45	64	75
46	65	74
47	67	72
48	68	71
49	69	69
50	71	68
51	72	67
52	73	65
53	75	64
54	76	62
55	77	61
56	79	59
57	80	58
58	82	57
59	83	55
60	84	54
61	86	52
62	87	51
63	89	50
64	90	48
65	92	47
66	93	46
67	94	44
68	96	43
69	97	41
70	99	40
71	100	39
72	101	37
73	103	36
74	104	34
75	106	33
76	107	32
77	108	30
78	110	29
79	111	27
80	113	26
81	114	25
82	115	23
83	117	22
84	118	20
85	120	19
86	121	18
87	122	16
88	124	15
89	126	14
90	127	12
91	129	11
92	130	9
93	132	8
94	133	7
95	135	5
96	136	4
97	138	2
98	139	1
99	140	0
